Artifact Creator | Short Id | Miner algo | Log | Miner Duration | Estimator Duration | LOG_EVENT_COUNT | LOG_TRACE_COUNT | MODEL_ENTITY_COUNT | MODEL_EDGE_COUNT | EARTH_MOVERS_LIGHT_COVERAGE | ENTROPY_PRECISION | ENTROPY_RECALL | Run file | Machine | 
Alignment | align-fodina | fodina | BPIC2013 closed | 47 | 0 | 6660 | 1487 | FAILED | FAILED | FAILED | FAILED | FAILED | mrun_align-fodina_BPIC2013_closed.xml | SEF-1953019678 | 
Activity Pair Left-Handed Estimator | aplh-fodina | fodina | BPIC2013 closed | 47 | 94 | 6660 | 1487 | 12 | 14 | -7.741618901491165E-9 | -0.0 | -0.0 | mrun_aplh-fodina_BPIC2013_closed.xml | SEF-1953019678 | 
Activity Pair Right-Handed Estimator | aprh-fodina | fodina | BPIC2013 closed | 47 | 94 | 6660 | 1487 | 12 | 14 | -7.741618901491165E-9 | -0.0 | -0.0 | mrun_aprh-fodina_BPIC2013_closed.xml | SEF-1953019678 | 
Fork Distributed Estimator | bce-fodina | fodina | BPIC2013 closed | 47 | 93 | 6660 | 1487 | 12 | 14 | -7.741618901491165E-9 | -0.0 | -0.0 | mrun_bce-fodina_BPIC2013_closed.xml | SEF-1953019678 | 
Frequency Estimator | fe-fodina | fodina | BPIC2013 closed | 47 | 94 | 6660 | 1487 | 12 | 14 | -7.741618901491165E-9 | -0.0 | -0.0 | mrun_fe-fodina_BPIC2013_closed.xml | SEF-1953019678 | 
Mean Scaled Activity Pair Estimator | msaprh-fodina | fodina | BPIC2013 closed | 47 | 94 | 6660 | 1487 | 12 | 14 | -7.741618901491165E-9 | -0.0 | -0.0 | mrun_msaprh-fodina_BPIC2013_closed.xml | SEF-1953019678 | 
Alignment | align-inductive | inductive | BPIC2013 closed | 172 | 234 | 6660 | 1487 | 9 | 10 | 0.5834686544279659 | -0.0 | 0.0019180404583048225 | mrun_align-inductive_BPIC2013_closed.xml | SEF-1953019678 | 
Activity Pair Left-Handed Estimator | aplh-inductive | inductive | BPIC2013 closed | 172 | 109 | 6660 | 1487 | 9 | 10 | 0.6985589842954689 | 0.7582892945337287 | 0.5327019262693886 | mrun_aplh-inductive_BPIC2013_closed.xml | SEF-1953019678 | 
Activity Pair Right-Handed Estimator | aprh-inductive | inductive | BPIC2013 closed | 172 | 93 | 6660 | 1487 | 9 | 10 | 0.6600220814926161 | 0.4601797116471561 | 0.5327019262693886 | mrun_aprh-inductive_BPIC2013_closed.xml | SEF-1953019678 | 
Fork Distributed Estimator | bce-inductive | inductive | BPIC2013 closed | 172 | 94 | 6660 | 1487 | 9 | 10 | 0.6312173810706707 | 0.3005310833070109 | 0.5327019262693886 | mrun_bce-inductive_BPIC2013_closed.xml | SEF-1953019678 | 
Frequency Estimator | fe-inductive | inductive | BPIC2013 closed | 172 | 156 | 6660 | 1487 | 9 | 10 | 0.7765381975868639 | 0.6653645814426116 | 0.5327019262693886 | mrun_fe-inductive_BPIC2013_closed.xml | SEF-1953019678 | 
Mean Scaled Activity Pair Estimator | msaprh-inductive | inductive | BPIC2013 closed | 172 | 93 | 6660 | 1487 | 9 | 10 | 0.7372817155500668 | 0.9967432106419105 | 0.5327019262693886 | mrun_msaprh-inductive_BPIC2013_closed.xml | SEF-1953019678 | 
Rogge-Solti Discovery | rssmt | rssmt | BPIC2013 closed | 547 | 0 | 6660 | 1487 | 31 | 38 | FAILED | 0.021830972082692326 | 0.6670456319143508 | mrun_rssmt_BPIC2013_closed.xml | SEF-1953019678 | 
Alignment | align-split | split | BPIC2013 closed | 968 | 141 | 6660 | 1487 | 17 | 20 | -7.741618901491165E-9 | 1.0 | 0.06567131600248848 | mrun_align-split_BPIC2013_closed.xml | SEF-1953019678 | 
Activity Pair Left-Handed Estimator | aplh-split | split | BPIC2013 closed | 968 | 79 | 6660 | 1487 | 17 | 20 | 0.5810029321614456 | 0.9759398832065486 | 0.9039409231496132 | mrun_aplh-split_BPIC2013_closed.xml | SEF-1953019678 | 
Activity Pair Right-Handed Estimator | aprh-split | split | BPIC2013 closed | 968 | 78 | 6660 | 1487 | 17 | 20 | 0.6085087721500348 | 0.9613573096222529 | 0.9039409231496132 | mrun_aprh-split_BPIC2013_closed.xml | SEF-1953019678 | 
Fork Distributed Estimator | bce-split | split | BPIC2013 closed | 968 | 78 | 6660 | 1487 | 17 | 20 | 0.5810029321614456 | 0.9759398832065485 | 0.9039409231496132 | mrun_bce-split_BPIC2013_closed.xml | SEF-1953019678 | 
Frequency Estimator | fe-split | split | BPIC2013 closed | 968 | 94 | 6660 | 1487 | 17 | 20 | 0.5810029321614456 | 0.9759398832065485 | 0.9039409231496132 | mrun_fe-split_BPIC2013_closed.xml | SEF-1953019678 | 
Mean Scaled Activity Pair Estimator | msaprh-split | split | BPIC2013 closed | 968 | 78 | 6660 | 1487 | 17 | 20 | 0.9443372158951493 | 0.7048894230040313 | 0.9039409231496132 | mrun_msaprh-split_BPIC2013_closed.xml | SEF-1953019678 | 
Alignment | align-fodina | fodina | BPIC2013 incidents | 47 | 0 | 65533 | 7554 | FAILED | FAILED | FAILED | FAILED | FAILED | mrun_align-fodina_BPIC2013_incidents.xml | SEF-1953019678 | 
Activity Pair Left-Handed Estimator | aplh-fodina | fodina | BPIC2013 incidents | 47 | 813 | 65533 | 7554 | 10 | 12 | -6.548361852765083E-9 | -0.0 | -0.0 | mrun_aplh-fodina_BPIC2013_incidents.xml | SEF-1953019678 | 
Activity Pair Right-Handed Estimator | aprh-fodina | fodina | BPIC2013 incidents | 47 | 812 | 65533 | 7554 | 10 | 12 | -6.548361852765083E-9 | -0.0 | -0.0 | mrun_aprh-fodina_BPIC2013_incidents.xml | SEF-1953019678 | 
Fork Distributed Estimator | bce-fodina | fodina | BPIC2013 incidents | 47 | 813 | 65533 | 7554 | 10 | 12 | -6.548361852765083E-9 | -0.0 | -0.0 | mrun_bce-fodina_BPIC2013_incidents.xml | SEF-1953019678 | 
Frequency Estimator | fe-fodina | fodina | BPIC2013 incidents | 47 | 735 | 65533 | 7554 | 10 | 12 | -6.548361852765083E-9 | -0.0 | -0.0 | mrun_fe-fodina_BPIC2013_incidents.xml | SEF-1953019678 | 
Mean Scaled Activity Pair Estimator | msaprh-fodina | fodina | BPIC2013 incidents | 47 | 812 | 65533 | 7554 | 10 | 12 | -6.548361852765083E-9 | -0.0 | -0.0 | mrun_msaprh-fodina_BPIC2013_incidents.xml | SEF-1953019678 | 
Alignment | align-inductive | inductive | BPIC2013 incidents | 172 | 1437 | 65533 | 7554 | 10 | 12 | -6.548361852765083E-9 | 0.835616484878956 | 0.1572234155945876 | mrun_align-inductive_BPIC2013_incidents.xml | SEF-1953019678 | 
Activity Pair Left-Handed Estimator | aplh-inductive | inductive | BPIC2013 incidents | 172 | 828 | 65533 | 7554 | 10 | 12 | 0.4197618988385905 | 0.9964434931237764 | 0.8816989651358932 | mrun_aplh-inductive_BPIC2013_incidents.xml | SEF-1953019678 | 
Activity Pair Right-Handed Estimator | aprh-inductive | inductive | BPIC2013 incidents | 172 | 828 | 65533 | 7554 | 10 | 12 | 0.40889214813453645 | 0.9941181405346032 | 0.8816989651358932 | mrun_aprh-inductive_BPIC2013_incidents.xml | SEF-1953019678 | 
Fork Distributed Estimator | bce-inductive | inductive | BPIC2013 incidents | 172 | 812 | 65533 | 7554 | 10 | 12 | 0.2588710927144896 | 0.010730780411071684 | 0.8816989651358932 | mrun_bce-inductive_BPIC2013_incidents.xml | SEF-1953019678 | 
Frequency Estimator | fe-inductive | inductive | BPIC2013 incidents | 172 | 906 | 65533 | 7554 | 10 | 12 | 0.6288761321598408 | 0.7873666111960907 | 0.8816989651358932 | mrun_fe-inductive_BPIC2013_incidents.xml | SEF-1953019678 | 
Mean Scaled Activity Pair Estimator | msaprh-inductive | inductive | BPIC2013 incidents | 172 | 844 | 65533 | 7554 | 10 | 12 | 0.6588386778100689 | 0.9550370324468986 | 0.8816989651358932 | mrun_msaprh-inductive_BPIC2013_incidents.xml | SEF-1953019678 | 
Rogge-Solti Discovery | rssmt | rssmt | BPIC2013 incidents | 48097 | 0 | 65533 | 7554 | 37 | 46 | FAILED | 0.5445167496094125 | 0.2901544337469962 | mrun_rssmt_BPIC2013_incidents.xml | SEF-1953019678 | 
Alignment | align-split | split | BPIC2013 incidents | 968 | 1062 | 65533 | 7554 | 20 | 24 | FAILED | FAILED | FAILED | mrun_align-split_BPIC2013_incidents.xml | SEF-1953019678 | 
